Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2024);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;SDG;Country;Region;Publisher;Coverage;Categories;Areas
54;21101176729;"Forum Geografi";journal;"24603945, 08520682";"Muhammadiyah University of Surakarta";Yes;No;1,452;Q1;6;31;17;1555;72;17;4,24;50,16;26,44;0;26;Indonesia;Asiatic Region;"Muhammadiyah University of Surakarta";"2023-2024";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Environmental Science; Social Sciences"
55;21101041845;"Journal of Geovisualization and Spatial Analysis";journal;"25098829";"Springer International Publishing";No;No;1,442;Q1;26;39;90;2359;596;89;7,71;60,49;33,58;1;29;Switzerland;Western Europe;"Springer International Publishing";"2017-2025";"Computers in Earth Sciences (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Earth and Planetary Sciences; Social Sciences"
56;4400151522;"Planning Theory";journal;"17413052, 14730952";"SAGE Publications Ltd";No;No;1,428;Q1;69;36;69;2297;252;57;3,45;63,81;57,63;1;12;United Kingdom;Western Europe;"SAGE Publications Ltd";"2002-2025";"Geography, Planning and Development (Q1)";"Social Sciences"
57;29655;"Urban Geography";journal;"02723638, 19382847";"Taylor and Francis Ltd.";No;No;1,419;Q1;96;149;303;10102;1432;293;4,29;67,80;45,30;2;117;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1980-2025";"Geography, Planning and Development (Q1); Urban Studies (Q1)";"Social Sciences"
58;13274;"Environment and Planning D: Society and Space";journal;"02637758, 14723433";"SAGE Publications Inc.";No;No;1,412;Q1;133;68;189;5253;748;177;3,15;77,25;57,38;0;29;United Kingdom;Western Europe;"SAGE Publications Inc.";"1983-2025";"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)";"Environmental Science; Social Sciences"
59;21101190429;"Journal of Urban Mobility";journal;"26670917";"Elsevier Ltd";Yes;No;1,403;Q1;14;27;67;1529;456;67;6,95;56,63;38,27;0;23;United Kingdom;Western Europe;"Elsevier Ltd";"2021-2025";"Geography, Planning and Development (Q1); Transportation (Q1)";"Social Sciences"
60;16544;"Tourism Geographies";journal;"14701340, 14616688";"Routledge";No;No;1,356;Q1;98;119;202;7398;1379;190;6,85;62,17;52,49;2;76;United Kingdom;Western Europe;"Routledge";"1999-2025";"Geography, Planning and Development (Q1); Tourism, Leisure and Hospitality Management (Q1)";"Business, Management and Accounting; Social Sciences"
61;12300154722;"International Journal of Tourism Research";journal;"10992340, 15221970";"John Wiley and Sons Ltd";No;No;1,355;Q1;90;194;192;15709;1636;190;8,81;80,97;44,47;1;92;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2008-2025";"Geography, Planning and Development (Q1); Nature and Landscape Conservation (Q1); Tourism, Leisure and Hospitality Management (Q1); Transportation (Q1)";"Business, Management and Accounting; Environmental Science; Social Sciences"
62;17700156312;"Environmental Policy and Governance";journal;"1756932X, 17569338";"John Wiley and Sons Ltd";No;No;1,349;Q1;62;69;136;5361;697;128;4,92;77,70;49,50;4;59;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2025";"Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)";"Environmental Science; Social Sciences"
63;25118;"Geopolitics";journal;"14650045";"Routledge";No;No;1,342;Q1;70;136;238;11965;1144;227;5,25;87,98;46,98;9;60;United Kingdom;Western Europe;"Routledge";"1986, 1998-2025";"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)";"Social Sciences"
